Date;Hours;What was studied;;
14/02/2021;1.00;revised python;;
15/02/2021;2.00;started classes python;;
16/02/2021;3.00;finished python in CA (classes + decorators) and read Clean Code;;
17/02/2021;3.33;finished terminal classes in CA | started Chimpokomon project and read Clean Code a bit;;
18/02/2021;2.75;2h + 16 min chinpokomon | 24 min watson api | 5 min flask;;
19/02/2021;1.00;40min flask | 20 min chinpokomon;;
20/02/2021;3.25;1:50 chinpokomon | 1:25 min edabit | ;;
21/02/2021;0.50;30min planning 10k |;;
22/02/2021;1.9;24 min list comprehension | 18 min lambda functions | 50 min files | 20min project;;
